poll_id,pollster,numeric_grade,pollscore,methodology,state,start_date,end_date,sample_size,population,election_date,party,answer,candidate_name,pct
88765,Emerson,2.9,-1.1,IVR/Online Panel/Text-to-Web,NA,2024-10-14,10/16/24,1000,lv,11/5/24,REP,Trump,Donald Trump,49.2
88762,YouGov,3,-1.1,Online Panel,Arizona,2024-10-11,10/16/24,1435,lv,11/5/24,REP,Trump,Donald Trump,51
88710,YouGov,3,-1.1,Online Panel,NA,2024-10-12,10/15/24,1457,rv,11/5/24,REP,Trump,Donald Trump,45
88710,YouGov,3,-1.1,Online Panel,NA,2024-10-12,10/15/24,1314,lv,11/5/24,REP,Trump,Donald Trump,45
88721,Emerson,2.9,-1.1,IVR/Online Panel,California,2024-10-12,10/14/24,1000,lv,11/5/24,REP,Trump,Donald Trump,36.6
88736,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,NA,2024-10-11,10/14/24,1110,rv,11/5/24,REP,Trump,Donald Trump,50
88736,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,NA,2024-10-11,10/14/24,870,lv,11/5/24,REP,Trump,Donald Trump,50
88734,Quinnipiac,2.8,-0.5,Live Phone,Georgia,2024-10-10,10/14/24,1328,lv,11/5/24,REP,Trump,Donald Trump,52
88734,Quinnipiac,2.8,-0.5,Live Phone,Georgia,2024-10-10,10/14/24,1328,lv,11/5/24,REP,Trump,Donald Trump,52
88735,Quinnipiac,2.8,-0.5,Live Phone,North Carolina,2024-10-10,10/14/24,1031,lv,11/5/24,REP,Trump,Donald Trump,47
88735,Quinnipiac,2.8,-0.5,Live Phone,North Carolina,2024-10-10,10/14/24,1031,lv,11/5/24,REP,Trump,Donald Trump,47
88722,SurveyUSA,2.8,-1.3,Online Panel,Washington,2024-10-09,10/14/24,703,lv,11/5/24,REP,Trump,Donald Trump,35
88703,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-11,10/13/24,807,rv,11/5/24,REP,Trump,Donald Trump,42
88703,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-11,10/13/24,769,lv,11/5/24,REP,Trump,Donald Trump,44
88703,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-11,10/13/24,938,a,11/5/24,REP,Trump,Donald Trump,37
88670,YouGov,3,-1.1,Online Panel,NA,2024-10-08,10/11/24,2712,lv,11/5/24,REP,Trump,Donald Trump,48
88711,Marist,2.9,-0.9,Online Panel/Text-to-Web,NA,2024-10-08,10/10/24,1401,lv,11/5/24,REP,Trump,Donald Trump,47
88711,Marist,2.9,-0.9,Online Panel/Text-to-Web,NA,2024-10-08,10/10/24,1708,rv,11/5/24,REP,Trump,Donald Trump,48
88664,Siena/NYT,3,-1.5,Live Phone,Pennsylvania,2024-10-07,10/10/24,857,rv,11/5/24,REP,Trump,Donald Trump,47
88664,Siena/NYT,3,-1.5,Live Phone,Pennsylvania,2024-10-07,10/10/24,857,rv,11/5/24,REP,Trump,Donald Trump,45
88664,Siena/NYT,3,-1.5,Live Phone,Pennsylvania,2024-10-07,10/10/24,857,lv,11/5/24,REP,Trump,Donald Trump,47
88664,Siena/NYT,3,-1.5,Live Phone,Pennsylvania,2024-10-07,10/10/24,857,lv,11/5/24,REP,Trump,Donald Trump,45
88665,Siena/NYT,3,-1.5,Live Phone,Arizona,2024-10-07,10/10/24,808,lv,11/5/24,REP,Trump,Donald Trump,51
88665,Siena/NYT,3,-1.5,Live Phone,Arizona,2024-10-07,10/10/24,808,lv,11/5/24,REP,Trump,Donald Trump,50
88665,Siena/NYT,3,-1.5,Live Phone,Arizona,2024-10-07,10/10/24,808,rv,11/5/24,REP,Trump,Donald Trump,51
88665,Siena/NYT,3,-1.5,Live Phone,Arizona,2024-10-07,10/10/24,808,rv,11/5/24,REP,Trump,Donald Trump,49
88738,University of Massachusetts Lowell/YouGov,2.9,-1,Online Panel,New Hampshire,2024-10-02,10/10/24,600,lv,11/5/24,REP,Trump,Donald Trump,41
88768,YouGov,3,-1.1,Online Panel,Texas,2024-10-02,10/10/24,1091,lv,11/5/24,REP,Trump,Donald Trump,51
88712,Marquette Law School,3,-1.1,Probability Panel,NA,2024-10-01,10/10/24,780,rv,11/5/24,REP,Trump,Donald Trump,50
88712,Marquette Law School,3,-1.1,Probability Panel,NA,2024-10-01,10/10/24,780,rv,11/5/24,REP,Trump,Donald Trump,39
88712,Marquette Law School,3,-1.1,Probability Panel,NA,2024-10-01,10/10/24,652,lv,11/5/24,REP,Trump,Donald Trump,50
88712,Marquette Law School,3,-1.1,Probability Panel,NA,2024-10-01,10/10/24,652,lv,11/5/24,REP,Trump,Donald Trump,41
88737,University of Massachusetts Lowell/YouGov,2.9,-1,Online Panel,Pennsylvania,2024-10-02,10/9/24,800,lv,11/5/24,REP,Trump,Donald Trump,45
88606,Emerson,2.9,-1.1,IVR/Online Panel/Text-to-Web,Arizona,2024-10-05,10/8/24,1000,lv,11/5/24,REP,Trump,Donald Trump,50.5
88607,Emerson,2.9,-1.1,IVR/Online Panel/Text-to-Web,Georgia,2024-10-05,10/8/24,1000,lv,11/5/24,REP,Trump,Donald Trump,49.7
88608,Emerson,2.9,-1.1,IVR/Online Panel/Text-to-Web,Michigan,2024-10-05,10/8/24,950,lv,11/5/24,REP,Trump,Donald Trump,49.6
88609,Emerson,2.9,-1.1,IVR/Online Panel/Text-to-Web,Nevada,2024-10-05,10/8/24,900,lv,11/5/24,REP,Trump,Donald Trump,48.1
88610,Emerson,2.9,-1.1,IVR/Online Panel/Text-to-Web,North Carolina,2024-10-05,10/8/24,1000,lv,11/5/24,REP,Trump,Donald Trump,49.9
88611,Emerson,2.9,-1.1,IVR/Online Panel/Text-to-Web,Pennsylvania,2024-10-05,10/8/24,1000,lv,11/5/24,REP,Trump,Donald Trump,49.7
88612,Emerson,2.9,-1.1,IVR/Online Panel/Text-to-Web,Wisconsin,2024-10-05,10/8/24,1000,lv,11/5/24,REP,Trump,Donald Trump,49.9
88617,Siena/NYT,3,-1.5,Live Phone,Montana,2024-10-05,10/8/24,656,rv,11/5/24,REP,Trump,Donald Trump,57
88617,Siena/NYT,3,-1.5,Live Phone,Montana,2024-10-05,10/8/24,656,rv,11/5/24,REP,Trump,Donald Trump,56
88617,Siena/NYT,3,-1.5,Live Phone,Montana,2024-10-05,10/8/24,656,lv,11/5/24,REP,Trump,Donald Trump,57
88617,Siena/NYT,3,-1.5,Live Phone,Montana,2024-10-05,10/8/24,656,lv,11/5/24,REP,Trump,Donald Trump,56
88667,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-04,10/8/24,2631,a,11/5/24,REP,Trump,Donald Trump,48
88667,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-04,10/8/24,2226,rv,11/5/24,REP,Trump,Donald Trump,47
88667,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-04,10/8/24,1714,lv,11/5/24,REP,Trump,Donald Trump,48
88667,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-04,10/8/24,2631,a,11/5/24,REP,Trump,Donald Trump,49
88667,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-04,10/8/24,2226,rv,11/5/24,REP,Trump,Donald Trump,49
88667,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-04,10/8/24,1714,lv,11/5/24,REP,Trump,Donald Trump,48
88590,YouGov,3,-1.1,Online Panel,NA,2024-10-06,10/7/24,1414,rv,11/5/24,REP,Trump,Donald Trump,44
88590,YouGov,3,-1.1,Online Panel,NA,2024-10-06,10/7/24,1230,lv,11/5/24,REP,Trump,Donald Trump,45
88558,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-04,10/7/24,1272,a,11/5/24,REP,Trump,Donald Trump,38
88558,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-04,10/7/24,1076,rv,11/5/24,REP,Trump,Donald Trump,43
88558,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-04,10/7/24,1076,lv,11/5/24,REP,Trump,Donald Trump,45
88558,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-04,10/7/24,1272,a,11/5/24,REP,Trump,Donald Trump,47
88558,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-04,10/7/24,1076,rv,11/5/24,REP,Trump,Donald Trump,48
88558,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-04,10/7/24,1076,lv,11/5/24,REP,Trump,Donald Trump,49
88591,Quinnipiac,2.8,-0.5,Live Phone,Michigan,2024-10-03,10/7/24,1007,lv,11/5/24,REP,Trump,Donald Trump,50
88591,Quinnipiac,2.8,-0.5,Live Phone,Michigan,2024-10-03,10/7/24,1007,lv,11/5/24,REP,Trump,Donald Trump,51
88592,Quinnipiac,2.8,-0.5,Live Phone,Pennsylvania,2024-10-03,10/7/24,1412,lv,11/5/24,REP,Trump,Donald Trump,46
88592,Quinnipiac,2.8,-0.5,Live Phone,Pennsylvania,2024-10-03,10/7/24,1412,lv,11/5/24,REP,Trump,Donald Trump,47
88593,Quinnipiac,2.8,-0.5,Live Phone,Wisconsin,2024-10-03,10/7/24,1073,lv,11/5/24,REP,Trump,Donald Trump,48
88593,Quinnipiac,2.8,-0.5,Live Phone,Wisconsin,2024-10-03,10/7/24,1073,lv,11/5/24,REP,Trump,Donald Trump,49
88613,Marist,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,Florida,2024-10-03,10/7/24,1257,lv,11/5/24,REP,Trump,Donald Trump,51
88613,Marist,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,Florida,2024-10-03,10/7/24,1410,rv,11/5/24,REP,Trump,Donald Trump,51
88614,Marist,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,Texas,2024-10-03,10/7/24,1365,rv,11/5/24,REP,Trump,Donald Trump,52
88614,Marist,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,Texas,2024-10-03,10/7/24,1186,lv,11/5/24,REP,Trump,Donald Trump,53
88615,Marist,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,Ohio,2024-10-03,10/7/24,1511,rv,11/5/24,REP,Trump,Donald Trump,52
88615,Marist,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,Ohio,2024-10-03,10/7/24,1327,lv,11/5/24,REP,Trump,Donald Trump,52
88616,The Washington Post,3,-1.2,Live Phone/Text-to-Web,Ohio,2024-10-03,10/7/24,1002,lv,11/5/24,REP,Trump,Donald Trump,51
88616,The Washington Post,3,-1.2,Live Phone/Text-to-Web,Ohio,2024-10-03,10/7/24,1002,rv,11/5/24,REP,Trump,Donald Trump,51
88550,Siena/NYT,3,-1.5,Live Phone,NA,2024-09-29,10/6/24,3385,lv,11/5/24,REP,Trump,Donald Trump,46
88550,Siena/NYT,3,-1.5,Live Phone,NA,2024-09-29,10/6/24,3385,lv,11/5/24,REP,Trump,Donald Trump,44
88555,Siena/NYT,3,-1.5,Live Phone,Florida,2024-09-29,10/6/24,622,lv,11/5/24,REP,Trump,Donald Trump,55
88555,Siena/NYT,3,-1.5,Live Phone,Florida,2024-09-29,10/6/24,622,lv,11/5/24,REP,Trump,Donald Trump,53
88555,Siena/NYT,3,-1.5,Live Phone,Florida,2024-09-29,10/6/24,622,rv,11/5/24,REP,Trump,Donald Trump,54
88555,Siena/NYT,3,-1.5,Live Phone,Florida,2024-09-29,10/6/24,622,rv,11/5/24,REP,Trump,Donald Trump,53
88551,Suffolk,2.9,-1,Live Phone,Massachusetts,2024-10-01,10/5/24,500,lv,11/5/24,REP,Trump,Donald Trump,32.2
88527,YouGov,3,-1.1,Online Panel,NA,2024-10-02,10/4/24,1150,rv,11/5/24,REP,Trump,Donald Trump,45
88527,YouGov,3,-1.1,Online Panel,NA,2024-10-02,10/4/24,1032,lv,11/5/24,REP,Trump,Donald Trump,47
88527,YouGov,3,-1.1,Online Panel,NA,2024-10-02,10/4/24,1151,rv,11/5/24,REP,Trump,Donald Trump,46
88527,YouGov,3,-1.1,Online Panel,NA,2024-10-02,10/4/24,1033,lv,11/5/24,REP,Trump,Donald Trump,47
88556,Siena/NYT,3,-1.5,Live Phone,Texas,2024-09-29,10/4/24,617,lv,11/5/24,REP,Trump,Donald Trump,50
88556,Siena/NYT,3,-1.5,Live Phone,Texas,2024-09-29,10/4/24,617,lv,11/5/24,REP,Trump,Donald Trump,49
88556,Siena/NYT,3,-1.5,Live Phone,Texas,2024-09-29,10/4/24,617,rv,11/5/24,REP,Trump,Donald Trump,50
88556,Siena/NYT,3,-1.5,Live Phone,Texas,2024-09-29,10/4/24,617,rv,11/5/24,REP,Trump,Donald Trump,48
88541,Christopher Newport U.,2.8,-0.6,Live Phone,Virginia,2024-09-28,10/4/24,800,lv,11/5/24,REP,Trump,Donald Trump,41
88618,YouGov/Center for Working Class Politics,3,-1.1,Online Panel,Pennsylvania,2024-09-24,10/2/24,1000,rv,11/5/24,REP,Trump,Donald Trump,44.7
88482,YouGov,3,-1.1,Online Panel,NA,2024-09-29,10/1/24,1463,rv,11/5/24,REP,Trump,Donald Trump,45
88482,YouGov,3,-1.1,Online Panel,NA,2024-09-29,10/1/24,1261,lv,11/5/24,REP,Trump,Donald Trump,46
88496,Emerson,2.9,-1.1,IVR/Online Panel/Text-to-Web,NA,2024-09-29,10/1/24,1000,lv,11/5/24,REP,Trump,Donald Trump,48.6
88506,Marist,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,NA,2024-09-27,10/1/24,1294,lv,11/5/24,REP,Trump,Donald Trump,48
88506,Marist,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,NA,2024-09-27,10/1/24,1514,rv,11/5/24,REP,Trump,Donald Trump,47
88431,The Washington Post,3,-1.2,Live Phone/Text-to-Web,North Carolina,2024-09-25,9/29/24,1001,lv,11/5/24,REP,Trump,Donald Trump,50
88431,The Washington Post,3,-1.2,Live Phone/Text-to-Web,North Carolina,2024-09-25,9/29/24,1001,rv,11/5/24,REP,Trump,Donald Trump,50
88457,Quinnipiac,2.8,-0.5,Live Phone,North Carolina,2024-09-25,9/29/24,953,lv,11/5/24,REP,Trump,Donald Trump,49
88457,Quinnipiac,2.8,-0.5,Live Phone,North Carolina,2024-09-25,9/29/24,953,lv,11/5/24,REP,Trump,Donald Trump,49
88458,Quinnipiac,2.8,-0.5,Live Phone,Georgia,2024-09-25,9/29/24,942,lv,11/5/24,REP,Trump,Donald Trump,50
88458,Quinnipiac,2.8,-0.5,Live Phone,Georgia,2024-09-25,9/29/24,942,lv,11/5/24,REP,Trump,Donald Trump,50
88461,Emerson,2.9,-1.1,Online Panel/Text-to-Web,Arizona,2024-09-27,9/28/24,920,lv,11/5/24,REP,Trump,Donald Trump,51.7
88462,Emerson,2.9,-1.1,Online Panel/Text-to-Web,North Carolina,2024-09-27,9/28/24,850,lv,11/5/24,REP,Trump,Donald Trump,49.9
88465,Emerson,2.9,-1.1,Online Panel/Text-to-Web,Pennsylvania,2024-09-27,9/28/24,1000,lv,11/5/24,REP,Trump,Donald Trump,48.8
88554,McCourtney Institute/YouGov,3,-1.1,Online Panel,NA,2024-09-23,9/27/24,848,lv,11/5/24,REP,Trump,Donald Trump,45
88407,Siena/NYT,3,-1.5,Live Phone,Nebraska CD-2,2024-09-24,9/26/24,680,rv,11/5/24,REP,Trump,Donald Trump,42
88407,Siena/NYT,3,-1.5,Live Phone,Nebraska CD-2,2024-09-24,9/26/24,680,rv,11/5/24,REP,Trump,Donald Trump,41
88407,Siena/NYT,3,-1.5,Live Phone,Nebraska CD-2,2024-09-24,9/26/24,680,lv,11/5/24,REP,Trump,Donald Trump,43
88407,Siena/NYT,3,-1.5,Live Phone,Nebraska CD-2,2024-09-24,9/26/24,680,lv,11/5/24,REP,Trump,Donald Trump,42
88393,SurveyUSA,2.8,-1.3,Online Panel,Minnesota,2024-09-23,9/26/24,646,lv,11/5/24,REP,Trump,Donald Trump,44
88404,Siena/NYT,3,-1.5,Live Phone,Michigan,2024-09-21,9/26/24,688,rv,11/5/24,REP,Trump,Donald Trump,47
88404,Siena/NYT,3,-1.5,Live Phone,Michigan,2024-09-21,9/26/24,688,rv,11/5/24,REP,Trump,Donald Trump,46
88404,Siena/NYT,3,-1.5,Live Phone,Michigan,2024-09-21,9/26/24,688,lv,11/5/24,REP,Trump,Donald Trump,47
88404,Siena/NYT,3,-1.5,Live Phone,Michigan,2024-09-21,9/26/24,688,lv,11/5/24,REP,Trump,Donald Trump,46
88405,Siena/NYT,3,-1.5,Live Phone,Ohio,2024-09-21,9/26/24,687,rv,11/5/24,REP,Trump,Donald Trump,49
88405,Siena/NYT,3,-1.5,Live Phone,Ohio,2024-09-21,9/26/24,687,rv,11/5/24,REP,Trump,Donald Trump,47
88405,Siena/NYT,3,-1.5,Live Phone,Ohio,2024-09-21,9/26/24,687,lv,11/5/24,REP,Trump,Donald Trump,50
88405,Siena/NYT,3,-1.5,Live Phone,Ohio,2024-09-21,9/26/24,687,lv,11/5/24,REP,Trump,Donald Trump,49
88406,Siena/NYT,3,-1.5,Live Phone,Wisconsin,2024-09-21,9/26/24,680,rv,11/5/24,REP,Trump,Donald Trump,47
88406,Siena/NYT,3,-1.5,Live Phone,Wisconsin,2024-09-21,9/26/24,680,rv,11/5/24,REP,Trump,Donald Trump,45
88406,Siena/NYT,3,-1.5,Live Phone,Wisconsin,2024-09-21,9/26/24,680,lv,11/5/24,REP,Trump,Donald Trump,47
88406,Siena/NYT,3,-1.5,Live Phone,Wisconsin,2024-09-21,9/26/24,680,lv,11/5/24,REP,Trump,Donald Trump,46
88488,Marquette Law School,3,-1.1,Probability Panel,Wisconsin,2024-09-18,9/26/24,882,rv,11/5/24,REP,Trump,Donald Trump,48
88488,Marquette Law School,3,-1.1,Probability Panel,Wisconsin,2024-09-18,9/26/24,798,lv,11/5/24,REP,Trump,Donald Trump,48
88488,Marquette Law School,3,-1.1,Probability Panel,Wisconsin,2024-09-18,9/26/24,882,rv,11/5/24,REP,Trump,Donald Trump,44
88488,Marquette Law School,3,-1.1,Probability Panel,Wisconsin,2024-09-18,9/26/24,798,lv,11/5/24,REP,Trump,Donald Trump,44
88391,Emerson,2.9,-1.1,Online Panel/Text-to-Web,New York,2024-09-23,9/25/24,1000,lv,11/5/24,REP,Trump,Donald Trump,41.6
88395,CNN/SSRS,2.8,-0.6,Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone,North Carolina,2024-09-20,9/25/24,931,lv,11/5/24,REP,Trump,Donald Trump,48
88397,CNN/SSRS,2.8,-0.6,Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone,Nebraska CD-2,2024-09-20,9/25/24,749,lv,11/5/24,REP,Trump,Donald Trump,42
88364,Emerson,2.9,-1.1,Online Panel/Text-to-Web,Texas,2024-09-22,9/24/24,950,lv,11/5/24,REP,Trump,Donald Trump,52.3
88365,Emerson,2.9,-1.1,Online Panel/Text-to-Web,Virginia,2024-09-22,9/24/24,860,lv,11/5/24,REP,Trump,Donald Trump,46.2
88351,YouGov,3,-1.1,Online Panel,NA,2024-09-21,9/24/24,1424,rv,11/5/24,REP,Trump,Donald Trump,44
88351,YouGov,3,-1.1,Online Panel,NA,2024-09-21,9/24/24,1220,lv,11/5/24,REP,Trump,Donald Trump,46
88361,YouGov,3,-1.1,Online Panel,Georgia,2024-09-20,9/24/24,1441,lv,11/5/24,REP,Trump,Donald Trump,51
88380,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,Arizona,2024-09-20,9/24/24,1021,rv,11/5/24,REP,Trump,Donald Trump,49
88380,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,Arizona,2024-09-20,9/24/24,764,lv,11/5/24,REP,Trump,Donald Trump,50
88380,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,Arizona,2024-09-20,9/24/24,1021,rv,11/5/24,REP,Trump,Donald Trump,50
88380,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,Arizona,2024-09-20,9/24/24,764,lv,11/5/24,REP,Trump,Donald Trump,51
88381,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,Georgia,2024-09-20,9/24/24,1006,rv,11/5/24,REP,Trump,Donald Trump,47
88381,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,Georgia,2024-09-20,9/24/24,707,lv,11/5/24,REP,Trump,Donald Trump,48
88381,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,Georgia,2024-09-20,9/24/24,1006,rv,11/5/24,REP,Trump,Donald Trump,48
88381,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,Georgia,2024-09-20,9/24/24,707,lv,11/5/24,REP,Trump,Donald Trump,48
88402,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,North Carolina,2024-09-20,9/24/24,787,lv,11/5/24,REP,Trump,Donald Trump,49
88402,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,North Carolina,2024-09-20,9/24/24,991,rv,11/5/24,REP,Trump,Donald Trump,47
88402,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,North Carolina,2024-09-20,9/24/24,787,lv,11/5/24,REP,Trump,Donald Trump,50
